,Date of Transaction,Description,Category,Income,Debits, Balance ,,11, Total Income , Income Target , Progress (%) ,,
12,,,,,,,,Business Income, $ -   , $ -   ,#DIV/0!,,
12,,,,,," $ 5,000.00 ",,Income," $ 9,426.04 "," $ 6,000.00 ",157%,,
12,,,,,," $ 5,000.00 ",,,,,,,
12,,,,,," $ 5,000.00 ",, Investments/Savings , Withdrawl , Deposit , Total Contribution , Contribution Target , Progress (%) 
12,,PERSONAL DEBIT,,,," $ 5,000.00 ",,Emergency Fund, $ -   , $ -   , $ -   , $ -   ,#DIV/0!
11,11/1/2025,interest,Income,$6.84,," $ 5,006.84 ",,TFSA, $ -   , $ -   , $ -   ," $ 1,000.00 ",0%
11,11/11,"nails, food",Personal Purchase,,$100.00," $ 4,906.84 ",,FHSA, $ -   , $ -   , $ -   , $ -   ,#DIV/0!
11,11/1,interest,Income,$4.11,,#REF!,,TOTAL, $ -   , $ -   , $ -   ," $ 1,000.00 ",0%
11,11/21/2025,questrade transfer,Income,$16.71,,#REF!,,,,,,,
11,11/18,dentist insurance payment,Health,$274.00,,#REF!,, Expenses , Total Spend  ,Budget Target, Progress (%) , Leftover ,
11,11/1,interest,Income,$4.11,,#REF!,,Rent & Utilities, $ 33.90 , $ 40.00 ,85%, $ 6.10 ,
11,11/27/2025,paycheck,Income,"$9,394.27",,#REF!,,Food/Beverages/Groceries, $ 367.55 , $ 500.00 ,74%, $ 132.45 ,
12,,,,,,#REF!,,Transportation/Gas, $ 147.89 , $ 200.00 ,74%, $ 52.11 ,
12,,,,,,#REF!,,Personal Subscription, $ 13.32 , $ 20.00 ,67%, $ 6.68 ,
12,,,,,,#REF!,,Business Subscription, $ -   , $ -   ,#DIV/0!, $ -   ,
12,,,,,,#REF!,,Personal Purchase, $ 369.13 , $ 200.00 ,185%, $ (169.13),
12,,,,,,#REF!,,Business Purchase, $ -   ,,#DIV/0!, $ -   ,
12,,,,,,#REF!,,Entertainment/Fun, $ -   , $ 150.00 ,0%, $ 150.00 ,
12,,,,,,#REF!,,Interest / Fees, $ 188.24 , $ 10.00 ,1882%, $ (178.24),
12,,,,,,#REF!,,Health, $ 183.00 , $ 200.00 ,92%, $ 17.00 ,
12,,AMEX,,,,#REF!,,Travel, $ 293.47 ," $ 1,000.00 ",29%, $ 706.53 ,
12,,,,,,#REF!,,Loan Payments, $ -   , $ 60.00 ,0%, $ 60.00 ,
12,,,,,,,,Donation, $ -   , $ -   ,#DIV/0!, $ -   ,
12,,,,,,#REF!,,Coffee Shops, $ 11.04 , $ 100.00 ,11%, $ 88.96 ,
12,,,,,,#REF!,,Other," $ 1,492.60 ", $ 250.00 ,597%," $ (1,242.60)",
12,,SIGNATURE,,,,#REF!,,TOTAL," $ 3,100.14 "," $ 2,730.00 ",114%, $ (376.24),
11,11/4/2025,food,Food/Beverages/Groceries,,$74.00,#REF!,,,,,,,
11,11/19,communauto refund,Transportation/Gas,$16.17,,#REF!,,Profit / Loss (P/L),, Expenses , Total , % ,
12,,,,,,#REF!,," $ 6,325.90 ",, Personal  ," $ 3,100.14 ",32.89%,
12,,AVION,,,,#REF!,,,, Business , $ -   ,0.00%,
11,11/1,coffee,Coffee Shops,,$6.18,#REF!,,,, Ratio Total ," $ 3,100.14 ",32.89%,
11,11/1/2025,rumis,Food/Beverages/Groceries,,$54.22,#REF!,,,,,,,
11,11/1/2025,gas,Transportation/Gas,,$35.00,#REF!,,,,,,,
11,11/2/2025,spotify,Personal Subscription,,$13.32,#REF!,,,,,,,
11,11/2/2025,coffeed,Food/Beverages/Groceries,,$13.00,#REF!,,,,,,,
11,11/5/2025,tallow,Other,,$239.16,#REF!,,,,,,,
11,11/5/2025,passport photo,Interest / Fees,,$28.24,#REF!,,,,,,,
11,11/5/2025,passport renewal,Interest / Fees,,$160.00,#REF!,,,,,,,
11,11/6/2025,acai,Food/Beverages/Groceries,,$14.69,#REF!,,,,,,,
11,11/6/2025,coffee,Coffee Shops,,$4.86,#REF!,,,,,,,
11,11/9,food for fam,Food/Beverages/Groceries,,$47.43,#REF!,,,,,,,
11,11/9/2025,food for fam,Food/Beverages/Groceries,,$27.09,#REF!,,,,,,,
11,11/9/2025,gas,Transportation/Gas,,$29.29,#REF!,,,,,,,
11,11/11/2025,dentist,Health,,$274.00,#REF!,,,,,,,
11,11/11/2025,cafe,Food/Beverages/Groceries,,$16.37,#REF!,,,,,,,
11,11/11/2025,persian food,Food/Beverages/Groceries,,$66.89,#REF!,,,,,,,
11,11/12/2025,massage,Health,,$113.00,#REF!,,,,,,,
11,11/13/2025,gas,Transportation/Gas,,$35.00,#REF!,,,,,,,
11,11/17/2025,walmart,Personal Purchase,,$20.31,#REF!,,,,,,,
11,11/18/2025,amazon,Personal Purchase,,$22.59,#REF!,,,,,,,
11,11/20/2025,chiropractor,Health,,$70.00,#REF!,,,,,,,
11,11/22,flight,Travel,,$28.50,,,,,,,,
11,11/22/2025,public mobile,Rent & Utilities,,$33.90,,,,,,,,
11,11/22,thai cafe,Food/Beverages/Groceries,,$8.48,,,,,,,,
11,11/22/2025,thai cafe,Food/Beverages/Groceries,,$26.73,,,,,,,,
11,11/22/2025,amazon,Personal Purchase,,$59.51,,,,,,,,
11,11/23/2025,gas,Transportation/Gas,,$20.00,,,,,,,,
11,11/23/2025,restaurant,Other,,$63.64,,,,,,,,
11,11/23/2025,breakfast,Food/Beverages/Groceries,,$13.00,,,,,,,,
11,11/24/2025,flight,Travel,,$67.69,,,,,,,,
11,11/24/2025,flight,Travel,,$157.90,,,,,,,,
11,11/26,gas,Transportation/Gas,,$9.77,,,,,,,,
11,11/26/2025,flight,Travel,,$39.38,,,,,,,,
11,11/27/2025,belt,Personal Purchase,,$59.95,,,,,,,,
11,11/27/2025,underwear,Personal Purchase,,$106.77,#REF!,,,,,,,
11,11/27/2025,gifts,Other,,$606.60,#REF!,,,,,,,
11,11/27/2025,gift for evelyn,Other,,$54.20,#REF!,,,,,,,
11,11/28/2025,gas,Transportation/Gas,,$35.00,#REF!,,,,,,,
11,11/28/2025,gift bag,Other,,$2.54,#REF!,,,,,,,
11,11/29/2025,tablet payment,Other,,$197.74,#REF!,,,,,,,
11,11/29/2025,gift for dad,Other,,$243.00,#REF!,,,,,,,
12,,,,,,#REF!,,,,,,,
11,11/30/2025,coffee,Food/Beverages/Groceries,,$5.65,,,,,,,,
11,11/30/2025,restaurant,Other,,$85.72,#REF!,,,,,,,
12,,,,,,#REF!,,,,,,,
12,,,,,,#REF!,,,,,,,
12,,,,,,#REF!,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
12,,,,,,,,,,,,,
